...1,Red Lights Camera Charges by Locaiton and Year,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,Published: December 2022,...15,...16,...17
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lawrence Ave. and Markham Rd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,128,108,203,258,208
Jane St. and Falstaff Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,692,684,497,861,1157
Avenue Rd. and Lawrence Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151,130,121,72,672,803
Highway 27 and Finch Ave.*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,346,153,0,0,0,NA
Pharmacy Ave. and McNicoll Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,182,256,175,151,183
Markham Rd. and Progress Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,58,47,14,58,75
Markham Rd. and Sheppard Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571,720,636,354,660,556
Don Mills Rd. and Van Horne Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,540,150,585,366,246,576
Sheppard Ave. and Morningside Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261,216,68,0,0,0
Morningside Ave. and Milner Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,625,494,150,242,193,172
Finch Ave. and Norfinch Dr. / Oakdale Rd.*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,15,0,0,0,NA
Kennedy Rd. and McNicoll Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,637,602,1110,1032,947
Ellesmere Rd. and Markham Rd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,118,116,263,303
Bloor St. and Keele St. / Parkside Dr.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244,832,493,100,90
Eglinton Ave. and Scarlett Rd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,43,83,30
Steeles Ave. and Dufferin St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,286,294,226,301
Dufferin St. and Dupont St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,105,43,251,318
Bloor St. and Islington Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,47,36,56
Steeles Ave. and Highway 27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,137,146,207
Don Mills Rd. and Sheppard Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,276,149,172
Steeles Ave. and Signet Dr.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,401,727,958
Kennedy Rd. and Sheppard Ave,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,870,752,826
Bathurst St. and Nina St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,524,278
Avenue Rd. and Chaplin Cres.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1513
Brimley Rd. and Huntingwood Dr.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431,829
Brimley Rd. and Progress Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196,307
Kingston Rd. and Brimley Rd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,313
Lawrence Ave. and Scarborough Golf Club Rd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,409
Steeles Ave. and Markham Rd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,281,292
Steeles Ave. and Bathurst St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,188
Strachan Ave. and Wellington St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,101
University Ave. and College St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,230
University Ave. and Dundas St.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,832,1658
Warden Ave. and Ellesmere Rd.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781,1323
Warden Ave. and Bridletowne Crcl. (South Intersection),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,435
Willowdale Ave. and Bishop Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,98
Steeles Ave. and Warden Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
Cummer Ave. and Willowdale Ave.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555,285
